t11,v11,c
22,3.6,174.61
22,3.6,173.86
22,3.6,174.57
22,3.6,174.38
22,3.6,173.96
22,3.6,174.48
22,3.6,174.42
22,3.6,174.69
22,3.6,174.07
22,3.6,173.86
22,3.6,173.57
22,3.6,174.48
22,3.6,174.52
22,3.6,174.46
22,3.6,174.73
22,3.6,174.19
22,3.6,174.09
22,3.6,173.75
22,3.6,174.71
22,3.6,173.75
22,3.6,174.4
22,3.6,174.48
22,3.6,174.63
22,3.6,173.86
22,3.6,174.17
22,3.6,174.19
22,3.6,174.5
22,3.6,174.38
22,3.6,174.17
22,3.6,173.88
22,3.6,174.29
22,3.6,174.29
22,3.6,174.52
22,3.6,174.17
22,3.6,174.36
22,3.6,174.31
22,3.6,174.61
22,3.6,174.94
22,3.6,174.29
22,3.6,174.38
22,3.6,174.4
22,3.6,174.54
22,3.6,174.73
22,3.6,174.84
22,3.6,174.17
21,3.6,174.82
22,3.6,174.61
22,3.6,174.92
21,3.6,174.15
22,3.6,174.36
21,3.6,174.5
22,3.6,174.19
21,3.6,174.04
22,3.6,174.19
22,3.6,174.17
22,3.6,174.61
22,3.6,174.17
22,3.6,174.84
22,3.6,174.4
22,3.6,174.52
22,3.6,174.48
22,3.6,174.29
22,3.6,174.38
22,3.6,174.42
22,3.6,174.52
22,3.6,174.84
22,3.6,174.63
22,3.6,174.5
22,3.6,173.88
22,3.6,174.21
22,3.6,173.96
22,3.6,174.71
22,3.6,174.38
22,3.6,174.09
22,3.6,174.48
22,3.6,174.11
22,3.6,173.96
22,3.6,174.5
22,3.6,174.27
21,3.6,174.19
22,3.6,173.67
22,3.6,174.09
22,3.6,174.27
22,3.6,174.94
22,3.6,174.27
22,3.6,174.19
22,3.6,173.96
22,3.6,174.29
22,3.6,174.29
22,3.6,174.52
22,3.6,174.63
22,3.6,174.29
22,3.6,174.71
22,3.6,174.96
22,3.6,173.88
22,3.6,174.21
22,3.6,174.31
22,3.6,174.27
22,3.6,174.73
22,3.6,174.4
22,3.6,174.48
22,3.6,174.09
22,3.6,174.44
22,3.6,174.5
22,3.6,174.52
22,3.6,174.61
22,3.6,174.5
22,3.6,174.19
22,3.6,174.19
22,3.6,174.4
22,3.6,175.05
22,3.6,174.59
22,3.6,174.0
22,3.6,174.94
22,3.6,174.11
22,3.6,174.71
22,3.6,174.48
22,3.6,173.65
22,3.6,174.29
22,3.6,174.4
22,3.6,174.11
22,3.6,174.19
22,3.6,173.88
22,3.6,174.71
22,3.6,174.5
22,3.6,174.96
22,3.6,174.07
22,3.6,174.94
22,3.6,174.19
22,3.6,173.9
22,3.6,174.61
22,3.6,174.4
22,3.6,174.27
22,3.6,174.67
23,3.6,174.71
22,3.6,174.19
22,3.6,174.71
22,3.6,174.94
22,3.6,174.65
22,3.6,174.09
22,3.6,174.82
21,3.6,175.03
22,3.6,174.71
22,3.6,174.38
22,3.6,174.48
22,3.6,174.4
22,3.6,174.8
22,3.6,173.96
22,3.6,174.5
22,3.6,174.5
22,3.6,174.27
22,3.6,174.31
22,3.6,174.71
22,3.6,174.19
22,3.6,174.17
22,3.6,174.0
22,3.6,174.27
22,3.6,174.61
22,3.6,174.38
22,3.6,175.03
22,3.6,173.94
22,3.6,174.94
22,3.6,174.4
22,3.6,174.29
21,3.6,174.29
22,3.6,174.59
22,3.6,175.28
22,3.6,174.82
22,3.6,174.4
22,3.6,174.82
22,3.6,173.67
22,3.6,174.4
22,3.6,174.4
22,3.6,174.38
22,3.6,174.71
22,3.6,174.61
21,3.6,174.69
22,3.6,174.09
22,3.6,175.17
22,3.6,175.07
22,3.6,174.71
22,3.6,174.61
22,3.6,175.05
22,3.6,174.82
21,3.6,174.63
22,3.6,174.63
22,3.6,174.84
22,3.6,174.71
22,3.6,174.61
22,3.6,174.59
22,3.6,174.29
22,3.6,174.84
22,3.6,174.96
22,3.6,174.48
22,3.6,174.19
22,3.6,174.29
22,3.6,174.84
22,3.6,174.73
22,3.6,174.42
22,3.6,174.42
22,3.6,174.61
22,3.6,174.19
22,3.6,174.86
22,3.6,173.86
22,3.6,174.61
22,3.6,175.13
22,3.6,174.96
22,3.6,174.73
22,3.6,174.94
22,3.6,174.71
22,3.6,174.4
22,3.6,174.29
22,3.6,174.63
22,3.6,174.73
22,3.6,175.49
22,3.6,174.84
22,3.6,174.5
22,3.6,175.13
21,3.6,175.0
22,3.6,174.59
22,3.6,174.17
22,3.6,174.61
22,3.6,174.07
22,3.6,174.71
22,3.6,174.5
22,3.6,174.42
22,3.6,173.96
22,3.6,174.82
22,3.6,174.4
22,3.6,175.26
22,3.6,174.42
22,3.6,174.29
22,3.6,174.52
22,3.6,174.96
22,3.6,175.05
22,3.6,174.48
22,3.6,174.92
